time,p-minimal-median,p-minimal-25th,p-minimal-75th,mip-pd-median,mip-pd-25th,mip-pd-75th,pareto-ihs-median,pareto-ihs-25th,pareto-ihs-75th
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.001971347515618136,0.0,0.006267662680769195,0.013980930534430567,0.004924531515109466,0.05146853146853147,0.06077690772510571,0.02621812022681413,0.14996735192518323
40,0.0026643777578459166,0.0006716818914562063,0.007549593263878978,0.02592771042553297,0.010240912559999496,0.09497668997668998,0.08875079889616083,0.04340168759811617,0.21559103547055353
60,0.0029905846664568013,0.0006716818914562063,0.007899243613529328,0.03678910627672277,0.015557293604889527,0.12824009324009322,0.10965792458229842,0.05878648334333734,0.26276434408964533
80,0.0033820937769023784,0.0007865715973385593,0.007899243613529328,0.04667138985637209,0.02038122149826861,0.16465034965034964,0.12843166155538271,0.07931093110321051,0.30749115342488836
100,0.003399389001443808,0.0007865715973385593,0.009574311230937736,0.055764314485164064,0.024813299861867127,0.2045804195804196,0.1429059259516154,0.09137496728605077,0.3244618333473755
120,0.003399389001443808,0.0007865715973385593,0.009574311230937736,0.06440860286673417,0.02914477460373526,0.23110834948184344,0.15694754782229575,0.09944175982353161,0.3451975735108265
140,0.0034759821386987095,0.0009132321991128531,0.012156668632572247,0.07118745670591997,0.03308439981582284,0.2476219563568961,0.1689246733815231,0.10633085018880623,0.3738941781110456
160,0.004141107059634826,0.0009892000862677152,0.016198064316087883,0.07758365748388128,0.03741587455769097,0.2638396242311905,0.17986955078502387,0.11290106300306042,0.39358096722554553
180,0.004954340607210626,0.0009892000862677152,0.035353203781512604,0.0839948446741621,0.04135549976977854,0.2749473418148117,0.18874993187707156,0.11829853080986386,0.4102557081472744
200,0.006063211574952562,0.0009892000862677152,0.03657487091222031,0.0893556508765386,0.04568697451164668,0.28756108349481846,0.20239470059966141,0.12304337202036009,0.42647337602156876
220,0.006247660354464366,0.0009892000862677152,0.037327882960413075,0.09439008632173496,0.049626599723734253,0.30302573932092003,0.2137895133432149,0.12798449692622402,0.4429869828966215
240,0.006247660354464366,0.0009892000862677152,0.03808089500860585,0.09787892310971386,0.053566224935821825,0.3136350549255847,0.22126890779754782,0.1341670995144983,0.4548477125284354
260,0.006247660354464366,0.0009892000862677152,0.0418459552495697,0.10162286193850908,0.05779709605595958,0.326747198584548,0.229786331809753,0.13858810600921864,0.46955935630634427
280,0.006247660354464366,0.0009892000862677152,0.042598967297762476,0.10491287898971599,0.06163611764631677,0.3378549161681692,0.2374730996074248,0.14412303916594116,0.47601419664672673
300,0.006247660354464366,0.0009892000862677152,0.04561101549053356,0.1082028960409229,0.06547513923667396,0.3503075238014997,0.24462612330457756,0.1489415702161524,0.4855522159773871
320,0.006247660354464366,0.0009892000862677152,0.04937607573149742,0.11136536207172165,0.06921355720530077,0.36292126548150644,0.2503841252023344,0.15343130938583233,0.4936719689072947
340,0.006247660354464366,0.0009892000862677152,0.05012908777969019,0.11440027708211221,0.07226887973609683,0.37537387311483694,0.2566169539142784,0.15785231588055268,0.4998760130249418
360,0.006292990986717267,0.0009892000862677152,0.05115930755990997,0.11718009005168648,0.07561544817494308,0.3839266155531216,0.26273078521238136,0.162209546865069,0.5074079649819698
380,0.006522770398481974,0.0009892000862677152,0.05115930755990997,0.11983235200085256,0.07867077070573913,0.39352830904035724,0.2689930725674913,0.16650300233938117,0.5136120090996168
400,0.006522770398481974,0.0009892000862677152,0.05218952734012975,0.12268343368679063,0.08201733914458538,0.40627685567444605,0.2744541623512339,0.169491204621079,0.5207231389921869
420,0.00690583972905588,0.0009892000862677152,0.05575599099695485,0.12513687589918474,0.08497205805365106,0.41512553711348893,0.2800931668351494,0.1733920927046558,0.5276473845439362
440,0.00690583972905588,0.0009892000862677152,0.0572620150933404,0.12635610379922205,0.08787184936905537,0.4247272306007246,0.2875328997483596,0.17755799715855983,0.5385021747090712
460,0.00690583972905588,0.0009892000862677152,0.05904524692175295,0.12900836574838814,0.09011814944737259,0.43613088718510407,0.2940159232155334,0.18100254234119714,0.5497673463190704
480,0.00690583972905588,0.0009892000862677152,0.05904524692175295,0.13153307667714606,0.0923644495256898,0.44573258067233973,0.2999713686820663,0.18438331201363037,0.5551491930802276
500,0.00690583972905588,0.0009892000862677152,0.05904524692175295,0.13385896786913198,0.09437608126858774,0.4535323110624315,0.30612802139205997,0.1878965898712272,0.5624007537800642
520,0.00690583972905588,0.0009892000862677152,0.06007546670197273,0.13638367879788993,0.09685704968232423,0.46208505350071616,0.3120834668585928,0.19127735954366043,0.5690137448758138
540,0.00690583972905588,0.0009892000862677152,0.06007546670197273,0.1385820189694677,0.09933801809606072,0.47273569803690285,0.31723408335128267,0.19491818842166544,0.573209549071618
560,0.00690583972905588,0.0009892000862677152,0.06007546670197273,0.1408516278574093,0.10134964983895867,0.4812884404751875,0.32331469233153487,0.19862774997463,0.5784543043163732
580,0.00690583972905588,0.0009892000862677152,0.06110568648219251,0.14239722651462672,0.10349534629554549,0.48984118291347206,0.3293953013117872,0.20214102783222684,0.5805522064142754
600,0.00690583972905588,0.0009892000862677152,0.06110568648219251,0.14472311770661267,0.10574164637386271,0.49764091330356386,0.334496798020499,0.20532551380929237,0.5853218202990008
620,0.00690583972905588,0.0009892000862677152,0.06110568648219251,0.1458147945862418,0.10765267449503026,0.5054406436936557,0.33972345824293015,0.20850999978635787,0.5907857575501465
640,0.00690583972905588,0.0009892000862677152,0.06110568648219251,0.14859460755581605,0.11013364290876675,0.5142893251326986,0.3447489112219006,0.21156693474301524,0.5955857408816017
660,0.00690583972905588,0.0009892000862677152,0.06213590626241229,0.15032403953748602,0.11204467102993429,0.5202870924256466,0.34977436420087105,0.21540404731638796,0.6003857242130568
680,0.00690583972905588,0.0009892000862677152,0.06213590626241229,0.1525223797090638,0.11372103081568258,0.5273338107675457,0.3544734464226613,0.2193098925647202,0.6051857075445121
700,0.00690583972905588,0.0009892000862677152,0.06213590626241229,0.15491953961741356,0.11549799422316125,0.5340845901086865,0.35904736513073215,0.22203803564084623,0.611607499201788
720,0.00690583972905588,0.0009892000862677152,0.06419634582285184,0.156465138274631,0.11764369067974807,0.5429332715477294,0.36329491308162287,0.2241822847956246,0.6157435286135526
740,0.00690583972905588,0.0009892000862677152,0.06625678538329141,0.1581382879522566,0.11978938713633491,0.5499799898896285,0.36766762454623303,0.22691042787175064,0.6205435119450079
760,0.00690583972905588,0.0009892000862677152,0.06625678538329141,0.15993898865029038,0.12146574692208319,0.5559777571825765,0.3726930775252034,0.2291184525367331,0.6253688795920667
780,0.00690583972905588,0.0009892000862677152,0.06625678538329141,0.16206285451500332,0.12314210670783148,0.5630244755244755,0.3767394182326334,0.23152276089708324,0.6288155707685372
800,0.00690583972905588,0.0009892000862677152,0.06728700516351119,0.16376244240465804,0.12491907011531014,0.5669243407195215,0.3803833444531418,0.2342509039732093,0.6339856075332432
820,0.00690583972905588,0.0009892000862677152,0.06728700516351119,0.16565754525458115,0.1265954299010584,0.5718731569635185,0.3845548486742912,0.23770040632060202,0.638810975180302
840,0.00690583972905588,0.0009892000862677152,0.06831722494373096,0.1673571331442359,0.1282717896868067,0.5775749852557082,0.3889275601389013,0.240364773886524,0.6422576663567725
860,0.00690583972905588,0.0009892000862677152,0.06831722494373096,0.16873035027671046,0.13018281780797425,0.5817707894515124,0.39317510808979206,0.24276908224687416,0.6453596884155961
880,0.00690583972905588,0.0009892000862677152,0.07140788428439031,0.17049459732972175,0.13162450925830327,0.586423666694751,0.39767298306812154,0.24569846618312335,0.6494957178273608
900,0.00690583972905588,0.0009892000862677152,0.07140788428439031,0.172716070936825,0.13320026542232116,0.5906194708905552,0.40184448728927086,0.2484953419342089,0.6548835021316957
920,0.00690583972905588,0.0009892000862677152,0.07140788428439031,0.1753947710980202,0.13487662520806945,0.592421433987699,0.4060159915104202,0.25057085841402776,0.6599520016339869
940,0.00690583972905588,0.0009892000862677152,0.07140788428439031,0.17748538890821167,0.136787653329237,0.597370250231696,0.4099862884881088,0.2531714504697456,0.6630286393772068
960,0.00690583972905588,0.0009892000862677152,0.07140788428439031,0.18003323327249507,0.1383634094932549,0.6030720785238858,0.41363021470861727,0.2562971181013625,0.6650966540830892
980,0.00690583972905588,0.0009892000862677152,0.07243810406461008,0.18264727427033373,0.1400397692790032,0.6069719437189317,0.4172741409291256,0.25889771015708035,0.6716449658260003
1000,0.00690583972905588,0.0009892000862677152,0.07449854362504965,0.1845812686442202,0.14195079740017075,0.6116248209621703,0.42071685990617336,0.2609094511266951,0.6767236993530097
1020,0.00690583972905588,0.0009892000862677152,0.07964964252614855,0.18545836769863944,0.1437612218996079,0.6173266492543601,0.42501352764104205,0.26311747579167755,0.6791034237154927
1040,0.00690583972905588,0.0009892000862677152,0.08067986230636832,0.18701548284266603,0.1454375816853562,0.621226514449406,0.42898382461873064,0.26526172494645595,0.6856040271988548
1060,0.00690583972905588,0.0009892000862677152,0.08067986230636832,0.18986444372778974,0.14724800618479336,0.6233244165473082,0.43282895808269983,0.2672734659160707,0.6897249063197339
1080,0.00690583972905588,0.0009892000862677152,0.08067986230636832,0.19206066309855313,0.14915903430596092,0.6279772937905468,0.4364728843032083,0.2691576558652773,0.693845785440613
1100,0.00690583972905588,0.0009892000862677152,0.08171008208658812,0.19458325322649667,0.1507347904699788,0.6318771589855927,0.44011681052371676,0.27130190502005563,0.6969364447812724
1120,0.00690583972905588,0.0009892000862677152,0.08171008208658812,0.19717704641626493,0.152545214969416,0.6326301710337855,0.4437607367442251,0.2732498704794663,0.7020875436823713
1140,0.00690583972905588,0.0009892000862677152,0.08171008208658812,0.19985383228158055,0.15375223808432573,0.6365300362288314,0.4479322409653745,0.2755904033296124,0.7072386425834702
1160,0.00690583972905588,0.0009892000862677152,0.08171008208658812,0.2027918511667499,0.15579733091918216,0.6383319993259753,0.45137495994242216,0.2778671606695544,0.7113595217043494
1180,0.00690583972905588,0.0009892000862677152,0.08171008208658812,0.20514226627488535,0.15784242375403862,0.6419359255202628,0.45449130816228966,0.2803402017048641,0.7144501810450087
1200,0.00690583972905588,0.0009892000862677152,0.08274030186680789,0.20775391440287452,0.1595187835397869,0.6458357907153088,0.4582603978965175,0.2821556589791111,0.7165106206054482
